**********************************************
* Logging started at ÖÜÈÕ 1ÔÂ 28 22:01:02 2024
* By flac3d Version 7.00 Release 126
* 
* 
* Job Title: 
**********************************************
flac3d>zone list stress range position-x 0 500 position-y 0 300 position-z 14.9 17.1
Zone total stress tensor.
     ID            XX            YY            ZZ            XY            YZ            XZ 
------- ------------- ------------- ------------- ------------- ------------- ------------- 
 158061 -1.903426e+07 -1.902123e+07 -1.594310e+07  1.785117e+04 -5.088309e+03  3.125815e+04 
 158062 -1.907301e+07 -1.902635e+07 -1.569641e+07  2.499336e+03  1.512253e+03 -6.584154e+04 
 158063 -1.911570e+07 -1.903562e+07 -1.543920e+07  1.798831e+03  3.188667e+02  3.109125e+04 
 158064 -1.908410e+07 -1.903629e+07 -1.548548e+07  9.952581e+02  5.914760e+02  2.206070e+03 
 158065 -1.908522e+07 -1.903780e+07 -1.547364e+07  7.414185e+02  6.141615e+02  1.309486e+03 
 158066 -1.908128e+07 -1.903896e+07 -1.547004e+07  5.381864e+02  6.234702e+02  3.547768e+02 
 158067 -1.907876e+07 -1.903996e+07 -1.546392e+07  3.644973e+02  6.166712e+02 -5.812011e+01 
 158068 -1.907017e+07 -1.904069e+07 -1.546506e+07  2.063348e+02  6.045028e+02  8.245505e+03 
 158069 -1.911017e+07 -1.904731e+07 -1.524630e+07  6.623181e+01  5.914336e+02 -5.248208e+04 
 158070 -1.899256e+07 -1.902055e+07 -1.597493e+07  6.906720e+03  1.752864e+03  1.846512e+03 
 158071 -1.906961e+07 -1.902877e+07 -1.569493e+07  6.065752e+03  1.344647e+03 -6.605512e+04 
 158072 -1.911294e+07 -1.903623e+07 -1.544108e+07  3.698915e+03  1.648894e+03  3.081833e+04 
 158073 -1.908323e+07 -1.903683e+07 -1.548589e+07  2.788462e+03  1.843880e+03  1.960108e+03 
 158074 -1.908462e+07 -1.903822e+07 -1.547381e+07  2.101942e+03  1.879082e+03  1.234624e+03 
 158075 -1.908082e+07 -1.903937e+07 -1.547007e+07  1.584233e+03  1.888061e+03  3.266528e+02 
 158076 -1.907836e+07 -1.904036e+07 -1.546387e+07  1.116399e+03  1.855474e+03 -6.433790e+01 
 158077 -1.906981e+07 -1.904109e+07 -1.546495e+07  6.535096e+02  1.819069e+03  8.262524e+03 
 158078 -1.910986e+07 -1.904772e+07 -1.524619e+07  2.238642e+02  1.795857e+03 -5.247153e+04 
 158079 -1.898940e+07 -1.901727e+07 -1.597977e+07  2.677574e+03  3.628208e+03  3.288654e+03 
 158080 -1.906553e+07 -1.902834e+07 -1.569843e+07  4.609823e+03  2.867442e+03 -6.616615e+04 
 158081 -1.911081e+07 -1.903719e+07 -1.544263e+07  4.803967e+03  3.015325e+03  3.035202e+04 
 158082 -1.908186e+07 -1.903760e+07 -1.548661e+07  4.045348e+03  3.130053e+03  1.740737e+03 
 158083 -1.908365e+07 -1.903902e+07 -1.547412e+07  3.269693e+03  3.190455e+03  1.137124e+03 
 158084 -1.908003e+07 -1.904022e+07 -1.547013e+07  2.518176e+03  3.172113e+03  3.145359e+02 
 158085 -1.907764e+07 -1.904122e+07 -1.546378e+07  1.801547e+03  3.093174e+03 -4.416826e+01 
